,best_match_score,__id_left,__id_right,Course,City,State,Country,id,g_course,g_address,g_city,g_state,g_country,g_latitude,g_longitude
2585,1.0102958254606065,78_left,13033_right,Firestone Country Club (South),Akron,Ohio,US,13034,Firestone Country Club - South,  452 E Warner Rd,Akron,Ohio,US,41.0077765,-81.5110394524275
2586,0.0424345211029104,79_left,4695_right,Princeville Makai Golf Club,Kauai,Hawaii,US,4696,The Makai Course,  5-3900 Kuhio Highway,Princeville,Hawaii,US,22.2109375,-159.4529283
2716,0.8165406044300614,80_left,14155_right,Tetherow Golf Club,Bend,Oregon,US,14156,The Golf Club at Tetherow,  61240 Skyline Ranch Road,Bend,Oregon,US,44.073385,-121.363253
2717,1.2732292234977025,81_left,5622_right,The Pfau Course at Indiana University,Bloomington,Indiana,US,5623,Pfau Course at Indiana University,  1350 45/46 Bypass,Bloomington,Indiana,US,39.17883,-86.50586
2855,1.0022361583258166,82_left,13588_right,The Virtues Golf Club,Nashport,Ohio,US,13589,The Virtues Golf Club,  One Long Drive,Nashport,Ohio,US,39.973079,-82.410468
2856,1.2186774222890155,83_left,15511_right,Caledonia Golf and Fish Club,Pawleys Island,South Carolina,US,15512,Caledonia Golf & Fish Club,  369 CALEDONIA DR,Pawleys Island,South Carolina,US,33.45281275,-79.15150689782021
2887,0.5556402516347088,84_left,10594_right,Edgewood Tahoe Golf Course,Stateline,Nevada,US,10595,Edgewood Tahoe Golf Course,  180 Lake Parkway,Lake Tahoe,Nevada,US,38.96657915,-119.94892735125927
2888,1.277737939354055,85_left,3315_right,Trump National Doral (Blue Monster),Miami,Florida,US,3316,Trump National Doral Miami - The Blue Monster,  4400 NW 87th Ave,Miami,Florida,US,25.7867392,-80.3366498
2889,0.6615013142510817,86_left,507_right,Quintero Golf Club,Peoria,Arizona,US,508,Quintero Golf Club,  16752 W State Route 74,Peoria,Arizona,US,33.850303,-112.418505
2890,1.0634815409460705,87_left,2062_right,TPC Colorado,Berthoud,Colorado,US,2063,TPC Colorado,  2580 W County Rd 14,Berthoud,Colorado,US,40.349443,-105.107231
2892,1.3918105567505625,88_left,2797_right,World Woods (Pine Barrens),Brooksville,Florida,US,2798,World Woods Golf Club - Pine Barrens,  17590 Ponce de Leon Blvd,Brooksville,Florida,US,28.551078,-82.3976854
2893,1.5783108779043746,89_left,18612_right,The Bull at Pinehurst Farms,Sheboygan Falls,Wisconsin,US,18613,The Bull at Pinehurst Farms,  1 Long Dr,Sheboygan Falls,Wisconsin,US,43.714136,-87.815057
2894,1.0804504639712889,90_left,1627_right,Poppy Hills Golf Course,Pebble Beach,California,US,1628,Poppy Hills Golf Course,  3200 Lopez Rd,Pebble Beach,California,US,36.581122,-121.940564
2895,1.465571212617619,91_left,12775_right,Mid Pines Inn and Golf Club,Southern Pines,North Carolina,US,12776,Mid Pines Inn & Golf Club,  1010 Midland Rd,Southern Pines,North Carolina,US,35.1917569,-79.3965685910872
3044,1.1891316511207886,92_left,7481_right,Bulle Rock,Havre de Grace,Maryland,US,7482,Bulle Rock Golf Club,  320 Blenheim Lane,Havre de Grace,Maryland,US,39.545816,-76.132808
3046,0.9119794130112301,93_left,1652_right,Grizzly Ranch,Portola,California,US,1653,Grizzly Ranch Golf Club,  250 Clubhouse Drive,Portola,California,US,39.845671,-120.415053
3047,1.0933685221269165,94_left,17655_right,Kingsmill Resort (River),Williamsburg,Virginia,US,17656,Kingsmill Golf Club & Resort - River,  1010 Kingsmill Rd,Williamsburg,Virginia,US,37.22963705,-76.66997598913352
3048,1.0326736818713633,95_left,10545_right,The Prairie Club (Pines),Valentine,Nebraska,US,10546,The Prairie Club - Pines,  88897 State Highway 97,Valentine,Nebraska,US,42.713914,-100.805769
3049,0.1654139570077142,96_left,1014_right,Rams Hill Golf Course,Borrego Springs,California,US,1015,Club Circle Golf Course,  3134 Club Circle E,Borrego Springs,California,US,33.23402725916958,-116.35605629433192
3062,1.286720191882012,97_left,4497_right,The McLemore Club,Rising Fawn,Georgia,US,4498,The McLemore Club,  785 Canyon Ridge Rd,Rising Fawn,Georgia,US,34.742229,-85.450824
